threshold,accuracy,precision,recall,f1
0.2,0.6816646191646192,0.428409413098951,0.9636479591836735,0.5931305201177625
0.21000000000000002,0.6888820638820639,0.43419540229885056,0.9636479591836735,0.5986529318541997
0.22000000000000003,0.6941031941031941,0.4383720930232558,0.9617346938775511,0.6022364217252396
0.23000000000000004,0.6997850122850123,0.44297082228116713,0.9585459183673469,0.6059262245515017
0.24000000000000005,0.7051597051597052,0.4475253428741801,0.9572704081632653,0.6099146688338074
0.25000000000000006,0.7120700245700246,0.4535552193645991,0.9559948979591837,0.6152267596962857
0.26000000000000006,0.7172911547911548,0.4581929555895865,0.9540816326530612,0.6190771777363956
0.2700000000000001,0.7228194103194103,0.46325581395348836,0.9528061224489796,0.6234091383267265
0.2800000000000001,0.7275798525798526,0.4677115987460815,0.951530612244898,0.6271542664985288
0.2900000000000001,0.7318796068796068,0.4718354430379747,0.9508928571428571,0.6307106598984772
0.3000000000000001,0.7369471744471745,0.4767702659404037,0.9489795918367347,0.6346769033909149
0.3100000000000001,0.7404791154791155,0.4802588996763754,0.9464285714285714,0.6371833404894804
0.3200000000000001,0.7432432432432432,0.4829954218443427,0.9419642857142857,0.638564634673584
0.3300000000000001,0.7480036855036855,0.48792590142242803,0.9406887755102041,0.6425615334349815
0.34000000000000014,0.753992628992629,0.49428763440860213,0.9381377551020408,0.6474471830985915
0.35000000000000014,0.7590601965601965,0.49982987410683904,0.9368622448979592,0.6518748613268249
0.36000000000000015,0.7624385749385749,0.5036094877964936,0.9343112244897959,0.6544561090015636
0.37000000000000016,0.7665847665847666,0.5083449235048678,0.9323979591836735,0.6579657965796579
0.38000000000000017,0.7696560196560197,0.5119887165021156,0.9260204081632653,0.659400544959128
0.3900000000000002,0.7716523341523341,0.5144282151763448,0.9209183673469388,0.6601142857142858
0.4000000000000002,0.7767199017199017,0.5206222865412445,0.9177295918367347,0.6643582640812558
0.4100000000000002,0.7805589680589681,0.5254672041040674,0.9145408163265306,0.6674424016755877
0.4200000000000002,0.7833230958230958,0.5290848462393479,0.9107142857142857,0.6693227091633466
0.4300000000000002,0.7867014742014742,0.5336339721909057,0.9056122448979592,0.6715535587609364
0.4400000000000002,0.7913083538083538,0.5400229797012639,0.8992346938775511,0.674802584350323
0.45000000000000023,0.796990171990172,0.548159749412686,0.8928571428571429,0.6792819019893256
0.46000000000000024,0.8002149877149877,0.5530393325387366,0.8877551020408163,0.6815177478580171
0.47000000000000025,0.8014434889434889,0.5552430695058256,0.8813775510204082,0.6812915947744639
0.48000000000000026,0.8037469287469288,0.5591353996737357,0.8743622448979592,0.682089552238806
0.49000000000000027,0.8074324324324325,0.5650372825186413,0.8698979591836735,0.6850828729281768
0.5000000000000002,0.808507371007371,0.5672392124005027,0.8635204081632653,0.6847029077117572
0.5100000000000002,0.8118857493857494,0.5728237791932059,0.8603316326530612,0.6877389752740249
0.5200000000000002,0.8141891891891891,0.5772217428817946,0.8533163265306123,0.6886258363355635
0.5300000000000002,0.816031941031941,0.5808566433566433,0.8475765306122449,0.6893153526970954
0.5400000000000003,0.8197174447174447,0.5878679750223015,0.8405612244897959,0.6918635170603674
0.5500000000000003,0.8224815724815725,0.5938069216757741,0.8316326530612245,0.6928799149840595
0.5600000000000003,0.8249385749385749,0.5992578849721707,0.8239795918367347,0.6938775510204082
0.5700000000000003,0.82754914004914,0.6055002370791844,0.8144132653061225,0.6945879793309764
0.5800000000000003,0.8303132678132679,0.6118898018366361,0.8073979591836735,0.6961781688204565
0.5900000000000003,0.832463144963145,0.6180108857001484,0.7965561224489796,0.6960156032320981
0.6000000000000003,0.8346130221130221,0.6249363867684479,0.7831632653061225,0.6951599207472403
0.6100000000000003,0.8370700245700246,0.6319625195210827,0.7742346938775511,0.6959014044138722
0.6200000000000003,0.839527027027027,0.6390217969165337,0.7665816326530612,0.697013627138301
0.6300000000000003,0.8402948402948403,0.643011917659805,0.7570153061224489,0.6953719976567077
0.6400000000000003,0.8424447174447175,0.6503884572697003,0.7474489795918368,0.6955489614243323
0.6500000000000004,0.8444410319410319,0.6575809199318569,0.7385204081632653,0.6957044157404626
0.6600000000000004,0.8472051597051597,0.6666666666666666,0.7308673469387755,0.697292363857621
0.6700000000000004,0.847512285012285,0.6704208654416123,0.7213010204081632,0.6949308755760368
0.6800000000000004,0.847972972972973,0.6766503667481663,0.7059948979591837,0.6910112359550562
0.6900000000000004,0.8485872235872236,0.6821026282853567,0.6951530612244898,0.6885660138976627
0.7000000000000004,0.8501228501228502,0.6892583120204604,0.6875,0.6883780332056194
0.7100000000000004,0.851504914004914,0.6978275181040158,0.6760204081632653,0.6867508908325235
0.7200000000000004,0.8542690417690417,0.7098305084745763,0.6677295918367347,0.6881367071968452
0.7300000000000004,0.8544226044226044,0.7149791955617198,0.6575255102040817,0.6850498338870432
0.7400000000000004,0.8567260442260443,0.7256574271499645,0.6511479591836735,0.6863865546218487
0.7500000000000004,0.8571867321867321,0.7321688500727802,0.6415816326530612,0.6838885112168592
0.7600000000000005,0.8578009828009828,0.740990990990991,0.6294642857142857,0.6806896551724138
0.7700000000000005,0.8561117936117936,0.7443841982958946,0.6128826530612245,0.6722630290311298
0.7800000000000005,0.8547297297297297,0.750402576489533,0.5943877551020408,0.6633451957295373
0.7900000000000005,0.8535012285012284,0.7554076539101497,0.5790816326530612,0.6555956678700361
0.8000000000000005,0.8525798525798526,0.7620689655172413,0.5637755102040817,0.6480938416422287
0.8100000000000005,0.8508906633906634,0.7681940700808625,0.545280612244898,0.6378217083177918
